=== /Users/shashanksaxena/Downloads/ASG Edge Plus Draft Feature List V1.xlsx ===
Sheets: ['ASG Edge Plus Modules', 'ASG Edge Plus Features', 'List of BRDs ', 'Pain points User Persona Wise', 'EdgePlusFields', 'FieldArchive', 'ExistingModules', 'ExistingNeededModules', 'ExistingGlobalFields', 'NeededGlobalFields', 'ExistingFirmFields', 'NeededFirmFields', 'Abbreviation', 'ASG Wishlist']


##### SHEET: ASG Edge Plus Modules #####
Work Area Number	Feature ID	Module	Sub Module	Pages	Sub Pages	Actions	Taazaa Remarks	ASG Remarks	Final Action
Lease Administrator	Contract > Terms	Incomplete Wizard-Generated Fields | 	"Generate Contract Terms" button creates term records but omits critical fields like Option Rent PSF, Notice Period, Notice Begin Date. User must manually open each term and add these fields. Missing "Option Rent" data doesn't just annoy her; it breaks the company's compliance with federal accounting laws. |  | User Statement: "Once I generate, I would like to have all the fields I need to add in, accurately, so I don't have to go back in and do it again." - Amelia	Blocker			Pain point Explanation.docx
Lease Administrator	Contract > Payment Info > Percentage Rent	Percentage Rent Schedule Overlaps Not Validated (Audit Risk)	System fails to detect or prevent overlapping date ranges in Percentage Rent schedules, forcing users to manually audit every entry to prevent erroneous double-billing/wrong calculations. |  | User Statement: "If I accidentally set up two rent schedules that overlap dates, the system doesn't warn me - it just tries to blend the math together. I need it to say, 'Hey, you have overlapping breakpoints,' so I don't mess up the calculation just because I forgot to change one end date."	Blocker			Pain point Explanation.docx
Lease Administrator	Contract > Payment Info > Recurring Expenses	Retroactive Workflows: Lack of Immutable Audit Trail	Users must manually create and then permanentely delete "retro payment" records to correct historical billing, which effectively erases the financial audit trail. |  | User Statement:  "I have to do retros, create payments, then delete those retros, and make sure my schedule is correct... there's no easy way for us to reverse those charges currently." - Amelia	Minor	JB: For a bit more context - having to delete retro lines in an expense schedule I believe is only relevant when setting up Alt Rent or if we need to process multiple overlapping retro adjustments, which does happen often enough to be a concern re: the audit trail. However, deleting out expense lines is not otherwise normally part of the retro process.	based on comments, the Priority is changed to minor, audit trail is major priority	Pain point Explanation.docx
Lease Administrator	Contract > Payment Info > Recurring Expenses	Convoluted Payment & Escalation Date Logic	A logic failure where the automation engine creates incorrect escalation schedules unless the user intentionally enters a false start date and then manually corrects it later. |  | User Statement: "I have to change that start date to be a January date so when it generates, it bases on every January... Then I have to go back in and edit that start date to be the actual 6-1 date. So I kind of have to trick the system..." - Jen	Blocker			Pain point Explanation.docx
Lease Administrator	Lease Extensions / Renewals	Disconnected Month-to-Month Lease Extension Workflow	The process for handling month-to-month leases is disjointed, requiring users to manually flag the lease status in one area and separately execute a contract extension action to update payment schedules in another, creating a risk of data mismatch and missed rent payments. |  | User Statement: "There's those two functions. If we could get those together as one, that would be great... If it was available here to click that month to month so that I could go ahead and do that and extend the charges at the same time would be very helpful."	Critical	JH, JB		Pain point Explanation.docx
Lease Administrator	Workflow Management	Vendor Workflow "All-for-One" Assignment Overload	The vendor change workflow defaults to assigning tasks to all team members ("all-for-one" logic) rather than specific individuals. This floods user dashboards with irrelevant tasks, forcing analysts to manually run and filter reports to identify which workflows actually belong to them, creating efficiency loss and cognitive overload. |  |  | User Statement: "It defaults to going to everyone... it's overwhelming for our staff to sit there and look at all of those workflows... It's an efficiency thing, right, like, we're spending too much time trying to figure out  what's their responsibility and what's not their responsibility."	Critical	JH, JB		Pain point Explanation.docx
Lease Administrator	System Navigation / UI Framework	Unintuitive "Sticky" Navigation Skipping List Views	The system bypasses standard list views and forces users into the last-viewed record, requiring tedious manual filtering to switch between entities. |  | User Statement: "The system skips list views and jumps to the last-viewed contract/portfolio, forcing users to repeatedly filter to find new items."	Minor	JH		Pain point Explanation.docx
Lease Administrator	Workflow Management	Multiple Approvers Conflict Handling	The workflow engine fails to resolve conflicting actions (e.g., Approve vs. Deny) when multiple users are required to vote on a single step, causing the process to stall indefinitely. |  | User Statement: "The issue that I run into is that if Dana takes one action, Jen takes another, and then Jess takes a third option, the workflow can't move forward. So this needs to be kind of expanded upon... Right now, I can't do that."		Need clarification as Approve or Deny relates to expense approval not workflows |  | Taazaa remarks: discussed and it’s a pain point		Pain point Explanation.docx
Lease Administrator	Document & Form Management	Checkout "Accidental Lockout" Risk	The "Checkout" feature allows users to inadvertently lock records indefinitely by mistaking the function for "View," requiring manual SysAdmin intervention to release the lock. |  | User Statement: "People check out by mistake all the time... If somebody checks something out, again, no one else has the ability to edit it... I have to manually navigate to each item and check it in. Only sysadmins or the person that has it checked out can check it in. So, if we can do that better, we would greatly appreciate it."	Critical	JH | JB: Could there be an automatic checkout expiry period? If a user hasn't updated a document in (for example) a week, the "checkout" expires? Would automate at least some of the clean up. Maybe an email alert goes out first, allowing the user to proactively click to extend or ignore and let it expire	1. rename the buttons to some versions of Lock/Unlock, icons approach | 2. can u give permissions to unlock to managers as well instead of dawn | 3. expiry of lock in every 48 hours if missed	Pain point Explanation.docx
Lease Administrator	Recurring Payments	"The 'Who Pays?' Ambiguity: Lack of Explicit Responsibility Tracking"	The system tracks active payments but fails to explicitly list expenses the tenant is not responsible for, forcing analysts to research legal abstracts to answer basic queries like "Why didn't we pay this?". |  | User Statement: "I need a checklist that just says: Rent? Yes. Taxes? No, Landlord pays. Utilities? No, Client pays direct. Right now, I have to dig through the abstract just to tell them why we didn't pay a bill."	Minor	JH, JB		Pain point Explanation.docx
Lease Administrator	Documents	Batch Move Failures with Inadequate Error Reporting	When analysts move 50+ documents from In-Process folders to final archival locations, any single filename conflict causes the entire batch operation to stop, leaving 46+ files unprocessed. |  | User Statement: "If I have 50 documents that I'm trying to move and the third document fails, the other 46 will stay in the folder structure, and then I have to figure out which one failed, first of all, which is a pain. Second, it sucks that it doesn't take the rest of the documents down."	Critical	JH, JB		Pain point Explanation.docx
Lease Administrator	Documents	Weak Document Search Without Filtering	To find "Q2 2024 water invoice," user must manually scan 60 items visually (2-3 minutes) rather than filter by document type + date range.	Minor	JH		
Lease Administrator	Documents	No In-System Document Renaming	Analysts cannot rename documents directly within Lucernex. When a document has an incorrect filename (common with vendor processing errors or client-submitted files), they must execute a cumbersome five-step workaround |  | User Statement: "The other thing that we really, really, really want, like, top priority with working with documents is... We want to be able, if we get a document that has the incorrect name, we want to be able to rename it in Lucernex. We don't want to have to download the document, rename it, delete the document that's in Lucernex, and then upload that new version. We want to be able to rename the document on screen."	Critical	JH, JB		Pain point Explanation.docx
SysAdmin	User Management	All-or-Nothing Permissions	Lucernex enforces binary, module-level permissions: either you have full User Management access, or none. This creates an impossible compliance dilemma. |  | User Statement: "Jess would like to be able to update the login status for a user. However, I can't grant her that permission because then I have to grant her access to create users. It's all or nothing, basically, for a module."	Critical	JH, JB		
Lease Administrator	Documents	Document Viewer Multi-Tab Locking	When users open a document in Lucernex PDF viewer, the system locks them to that page. They cannot open contract pages in other tabs simultaneously. |  | Desired Solution: Floating Document Viewer (Side-by-side) |  | User Statement: "I can't navigate away from this screen with this document still open... I can't move from a document and have it open and go into that Payment Info section currently... the system doesn't like me being on two separate pages and it will force me to go to the most current page."	Critical	JH, JB		
Lease Administrator	Documents	Portfolio Contract Document Linking	Documents live at Portfolio Level (Global), contract details at Contract Level (Specific)-with NO linking mechanism between them. |  | User Statement: "in order for me to do the check that I needed to, I had to navigate to the Contract, Payment Info, Recurring Expenses tab. So they're housed in two separate spaces within the current system" | 	Critical	JH, JB		

##### SHEET: EdgePlusFields #####

##### SHEET: FieldArchive #####
Module List update									
			 Store List				Shall we just keep the Store list rather facility/store list?	Not needed.	
